GameNumber,RoundNumber,WinningPlayer,ScorePlayer0,ScorePlayer1,DeadwoodPlayer0,DeadwoodPlayer1,CardsInDeadwoodPlayer0,CardsInDeadwoodPlayer1,FinalRound
46,0,Null,0,0,76,59,10,11,false
46,0,1,0,13,14,1,4,1,false
46,1,1,0,51,13,0,4,0,false
46,2,1,0,53,11,9,4,4,false
46,3,0,16,53,10,26,4,7,false
46,4,1,16,76,24,1,4,1,false
46,5,1,16,109,35,2,7,1,true
47,0,Null,0,0,71,79,10,11,false
47,0,0,51,0,3,54,2,7,false
47,1,0,69,0,7,25,3,7,false
47,2,0,105,0,8,44,4,7,true
48,0,Null,0,0,72,86,10,11,false
48,0,1,0,13,15,2,4,1,false
48,1,1,0,30,23,6,6,1,false
48,2,0,2,30,9,11,3,4,false
48,3,1,2,60,31,1,7,1,false
48,4,1,2,80,24,4,7,1,false
48,5,0,31,80,10,39,4,7,false
48,6,1,31,108,37,9,7,3,true
49,0,Null,0,0,76,52,10,11,false
49,0,0,30,0,3,33,1,7,false
49,1,0,37,0,9,16,3,4,false
49,2,1,37,2,12,10,4,4,false
49,3,0,66,2,9,38,4,7,false
49,4,1,66,38,41,5,7,3,false
49,5,0,99,38,5,38,3,7,false
49,6,1,99,59,25,4,7,1,false
49,7,0,136,59,0,12,0,3,true
50,0,Null,0,0,58,84,10,11,false
50,0,1,0,24,32,8,7,2,false
50,1,1,0,28,13,9,4,4,false
50,2,0,11,28,9,20,4,7,false
50,3,0,12,28,10,11,4,4,false
50,4,1,12,35,16,9,5,4,false
50,5,1,12,39,13,9,4,3,false
50,6,0,33,39,6,27,4,6,false
50,7,0,40,39,7,14,2,4,false
50,8,0,55,39,9,24,4,6,false
50,9,1,55,47,15,7,4,4,false
50,10,0,79,47,9,33,3,7,false
50,11,1,79,106,34,0,7,0,true
51,0,Null,0,0,76,64,10,11,false
51,0,0,1,0,10,11,4,4,false
51,1,0,35,0,10,44,4,7,false
51,2,1,35,6,15,9,6,4,false
51,3,0,96,6,9,70,3,10,false
51,4,0,102,6,9,15,4,4,true
52,0,Null,0,0,35,81,10,11,false
52,0,0,32,0,9,41,3,7,false
52,1,1,32,1,11,10,5,4,false
52,2,0,68,1,2,38,1,6,false
52,3,0,91,1,9,32,4,4,false
52,4,1,91,12,18,7,4,2,false
52,5,1,91,51,48,9,10,4,false
52,6,0,103,51,10,22,4,4,true
53,0,Null,0,0,58,83,10,11,false
53,0,0,11,0,9,20,4,4,false
53,1,0,38,0,10,37,4,7,false
53,2,1,38,4,14,10,4,3,false
53,3,0,67,4,9,38,4,7,false
53,4,0,91,4,4,28,2,7,false
53,5,1,91,12,11,3,4,1,false
53,6,0,171,12,0,55,0,7,true
54,0,Null,0,0,54,81,10,11,false
54,0,0,40,0,1,41,1,7,false
54,1,1,40,30,37,7,7,3,false
54,2,0,49,30,6,15,3,6,false
54,3,1,49,92,64,2,10,1,false
54,4,0,80,92,8,39,4,7,false
54,5,0,94,92,9,23,4,6,false
54,6,0,106,92,9,21,4,6,true
55,0,Null,0,0,53,79,10,11,false
55,0,0,22,0,6,28,3,7,false
55,1,0,34,0,9,21,4,4,false
55,2,0,45,0,10,21,4,6,false
55,3,0,94,0,6,55,3,10,false
55,4,1,94,7,11,4,4,3,false
55,5,0,146,7,9,61,4,10,true
56,0,Null,0,0,60,73,10,11,false
56,0,0,16,0,7,23,4,6,false
56,1,0,25,0,7,16,3,6,false
56,2,1,25,27,37,10,7,3,false
56,3,0,30,27,10,15,3,4,false
56,4,0,35,27,9,14,3,3,false
56,5,1,35,34,11,4,4,2,false
56,6,0,52,34,9,26,4,6,false
56,7,0,103,34,8,59,3,10,true
57,0,Null,0,0,46,76,10,11,false
57,0,0,39,0,6,45,4,7,false
57,1,1,39,8,14,6,4,2,false
57,2,1,39,37,33,4,10,2,false
57,3,0,78,37,9,48,4,10,false
57,4,0,92,37,4,18,1,4,false
57,5,1,92,43,12,6,4,3,false
57,6,1,92,83,47,7,7,4,false
57,7,0,114,83,4,26,2,4,true
58,0,Null,0,0,55,72,10,11,false
58,0,0,10,0,9,19,4,4,false
58,1,0,17,0,6,13,2,4,false
58,2,0,71,0,9,63,1,10,false
58,3,0,127,0,4,60,3,10,true
59,0,Null,0,0,67,79,10,11,false
59,0,1,0,24,31,7,7,4,false
59,1,0,6,24,7,13,4,4,false
59,2,0,14,24,6,14,3,3,false
59,3,0,49,24,9,44,4,7,false
59,4,1,49,66,47,5,7,2,false
59,5,0,91,66,7,49,3,7,false
59,6,1,91,77,20,9,4,4,false
59,7,0,137,77,1,47,1,7,true
60,0,Null,0,0,63,76,10,11,false
60,0,0,28,0,4,32,3,7,false
60,1,0,34,0,6,12,3,4,false
60,2,0,48,0,10,24,3,7,false
60,3,1,48,4,14,10,4,4,false
60,4,1,48,23,29,10,7,3,false
60,5,1,48,33,20,10,4,4,false
60,6,0,51,33,8,11,4,4,false
60,7,0,52,33,10,11,3,4,false
60,8,1,52,39,16,10,4,3,false
60,9,0,79,39,4,31,2,7,false
60,10,0,114,39,8,43,1,7,true
61,0,Null,0,0,67,61,10,11,false
61,0,1,0,31,32,1,6,1,false
61,1,0,7,31,8,15,3,4,false
61,2,1,7,78,56,9,10,4,false
61,3,0,32,78,10,35,4,7,false
61,4,0,68,78,9,45,4,10,false
61,5,0,92,78,10,34,4,7,false
61,6,1,92,99,30,9,7,3,false
61,7,0,134,99,6,48,1,7,true
62,0,Null,0,0,78,81,10,11,false
62,0,1,0,13,23,10,7,3,false
62,1,1,0,28,25,10,7,3,false
62,2,0,14,28,10,24,3,6,false
62,3,1,14,54,31,5,7,1,false
62,4,1,14,68,24,10,4,3,false
62,5,0,24,68,10,20,4,4,false
62,6,1,24,81,22,9,6,4,false
62,7,0,53,81,5,34,3,7,false
62,8,0,66,81,5,18,2,4,false
62,9,1,66,97,26,10,4,4,false
62,10,1,66,103,14,8,4,4,true
63,0,Null,0,0,45,80,10,11,false
63,0,0,2,0,10,12,4,4,false
63,1,0,69,0,4,71,1,10,false
63,2,1,69,22,31,9,7,3,false
63,3,1,69,37,17,2,6,1,false
63,4,1,69,39,11,9,4,4,false
63,5,1,69,71,42,10,7,2,false
63,6,1,69,103,33,1,10,1,true
64,0,Null,0,0,65,68,10,11,false
64,0,0,29,0,1,30,1,7,false
64,1,1,29,30,31,1,7,1,false
64,2,0,51,30,3,25,2,4,false
64,3,0,70,30,5,24,3,7,false
64,4,1,70,42,21,9,4,4,false
64,5,1,70,45,13,10,4,4,false
64,6,0,83,45,7,20,3,4,false
64,7,0,131,45,10,58,3,10,true
65,0,Null,0,0,62,65,10,11,false
65,0,0,8,0,9,17,4,6,false
65,1,1,8,11,14,3,6,1,false
65,2,0,42,11,6,40,3,7,false
65,3,1,42,31,24,4,6,1,false
65,4,0,57,31,10,25,3,7,false
65,5,0,73,31,4,20,2,4,false
65,6,0,122,31,5,54,1,10,true
66,0,Null,0,0,79,69,10,11,false
66,0,0,16,0,9,25,3,7,false
66,1,1,16,5,14,9,4,4,false
66,2,0,48,5,6,38,3,7,false
66,3,0,64,5,8,24,2,7,false
66,4,0,113,5,3,52,1,10,true
67,0,Null,0,0,80,60,10,11,false
67,0,1,0,8,16,8,4,4,false
67,1,0,8,8,10,18,4,4,false
67,2,1,8,11,11,8,4,4,false
67,3,1,8,19,17,9,5,4,false
67,4,0,14,19,8,14,3,4,false
67,5,0,26,19,10,22,4,4,false
67,6,1,26,40,29,8,7,3,false
67,7,0,49,40,3,26,1,7,false
67,8,1,49,58,27,9,7,4,false
67,9,0,74,58,8,33,3,7,false
67,10,0,78,58,9,13,4,3,false
