Game,Rounds,P0 Score,P1 Score,Winner
410,2,120,0,0
411,2,134,0,0
412,3,138,0,0
413,3,128,0,0
414,3,122,0,0
415,3,130,0,0
416,2,100,0,0
417,3,133,0,0
418,2,130,0,0
419,2,114,0,0
420,3,122,0,0
421,4,144,0,0
422,3,150,0,0
423,2,102,0,0
424,2,100,0,0
425,2,112,0,0
426,2,121,0,0
427,2,142,0,0
428,2,125,0,0
429,2,140,0,0
430,2,144,0,0
431,3,181,0,0
432,2,104,0,0
433,3,151,0,0
434,2,131,0,0
435,2,132,0,0
436,3,157,0,0
437,2,115,0,0
438,2,102,0,0
439,2,119,0,0
440,2,116,0,0
441,2,107,0,0
442,3,107,0,0
443,2,112,0,0
444,2,102,0,0
445,2,103,0,0
446,2,104,0,0
447,2,123,0,0
448,3,151,0,0
449,3,131,0,0
450,2,105,0,0
451,2,110,0,0
452,2,125,0,0
453,2,140,0,0
454,3,112,0,0
455,3,134,0,0
456,3,144,0,0
457,2,128,0,0
458,2,129,0,0
459,2,137,0,0
460,2,114,0,0
461,2,112,0,0
462,3,133,0,0
463,2,102,0,0
464,2,108,0,0
465,3,144,0,0
466,2,136,0,0
467,2,104,0,0
468,2,127,0,0
469,2,106,0,0
470,2,127,0,0
471,2,110,0,0
472,2,106,0,0
473,2,130,0,0
474,2,116,0,0
475,3,155,0,0
476,3,161,0,0
477,3,121,0,0
478,3,147,0,0
479,2,108,0,0
480,3,149,0,0
481,2,133,0,0
482,3,154,0,0
483,3,109,0,0
484,2,119,0,0
485,3,168,0,0
486,2,100,0,0
487,3,139,0,0
488,2,115,0,0
489,3,143,0,0
490,3,123,0,0
491,3,110,0,0
492,2,102,0,0
493,2,117,0,0
494,3,157,0,0
495,3,142,0,0
496,2,113,0,0
497,4,114,0,0
498,2,114,0,0
499,2,101,0,0
